provider_id,provider_name,state,specialty,intake_source,assigned_analyst,received_date,completed_date,status,turnaround_days,documents_missing_flag,verification_issue_flag,committee_required_flag,sla_target_days
P0028,Provider 28,NY,Family Medicine,Manual Intake,K. Sharma,2025-02-03,,Rejected,20,0,1,0,20
P0029,Provider 29,PA,Pediatrics,CAQH,S. Reddy,2025-01-11,,Pending Documents,29,1,0,0,20
P0030,Provider 30,CA,Pediatrics,Portal Upload,S. Reddy,2025-03-31,,Pending Documents,44,1,0,0,20
P0031,Provider 31,TX,Pediatrics,Manual Intake,A. Patel,2025-01-16,2025-01-18,Completed,2,0,0,0,20
P0032,Provider 32,IL,Family Medicine,Manual Intake,M. Singh,2025-02-18,2025-03-13,Completed,23,0,0,0,20
P0033,Provider 33,TX,Neurology,Manual Intake,S. Reddy,2025-02-02,,On Hold,30,1,0,0,20
P0034,Provider 34,PA,Pediatrics,Portal Upload,K. Sharma,2025-03-03,2025-04-05,Completed,33,0,0,0,20
P0035,Provider 35,TX,Neurology,Manual Intake,A. Patel,2025-02-20,,Rejected,15,0,1,0,20
P0036,Provider 36,IL,Internal Medicine,Portal Upload,M. Singh,2025-03-09,2025-04-12,Completed,34,0,0,0,20
P0037,Provider 37,PA,Pediatrics,Portal Upload,R. Kumar,2025-03-10,,Pending Documents,32,1,0,0,20
P0038,Provider 38,NJ,Pediatrics,Portal Upload,S. Reddy,2025-01-17,2025-02-20,Completed,34,0,0,0,20
P0039,Provider 39,CA,Family Medicine,Manual Intake,K. Sharma,2025-01-09,2025-01-26,Completed,17,0,0,0,20
P0040,Provider 40,CA,Neurology,Manual Intake,K. Sharma,2025-01-13,2025-02-04,Completed,22,0,0,0,20
P0041,Provider 41,NY,Cardiology,Manual Intake,A. Patel,2025-02-26,,Committee Review,24,0,0,1,20
P0042,Provider 42,PA,Orthopedics,Referral,R. Kumar,2025-02-12,,On Hold,40,1,0,0,20
P0043,Provider 43,TX,Pediatrics,Manual Intake,A. Patel,2025-02-24,,Pending Documents,18,1,0,0,20
P0044,Provider 44,CA,Cardiology,Manual Intake,S. Reddy,2025-03-15,,In Verification,16,0,1,0,20
P0045,Provider 45,NJ,Family Medicine,Portal Upload,R. Kumar,2025-02-16,2025-03-10,Completed,22,0,0,0,20
P0046,Provider 46,CA,Neurology,Portal Upload,M. Singh,2025-01-01,,Rejected,4,0,1,0,20
P0047,Provider 47,TX,Orthopedics,Portal Upload,M. Singh,2025-02-06,,In Verification,9,0,1,0,20
P0048,Provider 48,NY,Internal Medicine,CAQH,R. Kumar,2025-03-28,,Committee Review,19,0,0,1,20
P0049,Provider 49,AZ,Cardiology,Portal Upload,A. Patel,2025-03-21,,Pending Documents,19,1,0,0,20
P0050,Provider 50,NY,Neurology,CAQH,A. Patel,2025-03-14,,Committee Review,36,0,0,1,20
P0051,Provider 51,FL,Family Medicine,Manual Intake,M. Singh,2025-03-23,,Pending Documents,39,1,0,0,20
P0052,Provider 52,FL,Family Medicine,Referral,R. Kumar,2025-03-25,,Pending Documents,4,1,0,0,20
P0053,Provider 53,IL,Cardiology,Manual Intake,K. Sharma,2025-02-27,,In Verification,34,0,1,0,20
P0054,Provider 54,CA,Orthopedics,Portal Upload,R. Kumar,2025-01-23,2025-02-22,Completed,30,0,0,0,20
P0055,Provider 55,PA,Pediatrics,CAQH,R. Kumar,2025-02-15,,Rejected,43,0,1,0,20
P0056,Provider 56,PA,Neurology,Manual Intake,K. Sharma,2025-02-06,2025-02-23,Completed,17,0,0,0,20
P0057,Provider 57,PA,Cardiology,CAQH,S. Reddy,2025-03-28,,Rejected,21,0,1,0,20
P0058,Provider 58,NY,Orthopedics,Referral,A. Patel,2025-03-29,,Committee Review,28,0,0,1,20
P0059,Provider 59,FL,Pediatrics,Portal Upload,R. Kumar,2025-02-11,,In Verification,12,0,1,0,20
P0060,Provider 60,AZ,Family Medicine,Referral,A. Patel,2025-01-08,2025-01-12,Completed,4,0,0,0,20
P0061,Provider 61,TX,Pediatrics,CAQH,S. Reddy,2025-01-05,2025-01-30,Completed,25,0,0,0,20
P0062,Provider 62,TX,Cardiology,CAQH,K. Sharma,2025-02-01,2025-03-17,Completed,44,0,0,0,20
P0063,Provider 63,IL,Family Medicine,CAQH,K. Sharma,2025-03-26,,On Hold,12,1,0,0,20
P0064,Provider 64,IL,Neurology,Manual Intake,A. Patel,2025-02-05,,Rejected,43,0,1,0,20
P0065,Provider 65,PA,Family Medicine,Portal Upload,R. Kumar,2025-03-02,,Committee Review,13,0,0,1,20
P0066,Provider 66,AZ,Cardiology,Referral,A. Patel,2025-02-06,2025-03-21,Completed,43,0,0,0,20
P0067,Provider 67,AZ,Family Medicine,Manual Intake,R. Kumar,2025-02-08,2025-02-17,Completed,9,0,0,0,20
P0068,Provider 68,FL,Pediatrics,CAQH,A. Patel,2025-02-16,2025-03-18,Completed,30,0,0,0,20
P0069,Provider 69,AZ,Pediatrics,Portal Upload,M. Singh,2025-02-10,2025-02-12,Completed,2,0,0,0,20
P0070,Provider 70,CA,Pediatrics,Manual Intake,S. Reddy,2025-01-06,,In Verification,27,0,1,0,20
P0071,Provider 71,PA,Internal Medicine,Referral,R. Kumar,2025-01-22,,In Verification,39,0,1,0,20
P0072,Provider 72,PA,Cardiology,Referral,M. Singh,2025-01-30,,Rejected,24,0,1,0,20
P0073,Provider 73,PA,Pediatrics,Portal Upload,A. Patel,2025-02-03,,Pending Documents,18,1,0,0,20
P0074,Provider 74,NJ,Cardiology,Portal Upload,A. Patel,2025-03-24,,Pending Documents,4,1,0,0,20
P0075,Provider 75,CA,Cardiology,CAQH,R. Kumar,2025-03-19,2025-04-29,Completed,41,0,0,0,20
P0076,Provider 76,NY,Family Medicine,Portal Upload,K. Sharma,2025-03-21,2025-03-24,Completed,3,0,0,0,20
P0077,Provider 77,AZ,Pediatrics,CAQH,M. Singh,2025-02-06,2025-02-09,Completed,3,0,0,0,20
P0078,Provider 78,FL,Orthopedics,Manual Intake,S. Reddy,2025-01-28,,Pending Documents,27,1,0,0,20
P0079,Provider 79,AZ,Internal Medicine,CAQH,M. Singh,2025-01-31,,On Hold,25,1,0,0,20
P0080,Provider 80,PA,Neurology,Manual Intake,S. Reddy,2025-03-30,2025-04-19,Completed,20,0,0,0,20
P0081,Provider 81,NJ,Neurology,Manual Intake,K. Sharma,2025-02-22,,In Verification,31,0,1,0,20
P0082,Provider 82,PA,Family Medicine,Referral,R. Kumar,2025-01-04,,In Verification,41,0,1,0,20
P0083,Provider 83,CA,Family Medicine,CAQH,K. Sharma,2025-03-21,2025-04-05,Completed,15,0,0,0,20
P0084,Provider 84,FL,Family Medicine,Portal Upload,R. Kumar,2025-02-24,,Pending Documents,34,1,0,0,20
P0085,Provider 85,AZ,Neurology,Referral,M. Singh,2025-01-31,2025-03-15,Completed,43,0,0,0,20
P0086,Provider 86,IL,Cardiology,Manual Intake,S. Reddy,2025-03-31,2025-04-22,Completed,22,0,0,0,20
P0087,Provider 87,CA,Internal Medicine,Referral,A. Patel,2025-02-07,,On Hold,19,1,0,0,20
P0088,Provider 88,PA,Family Medicine,Portal Upload,K. Sharma,2025-03-19,,Pending Documents,24,1,0,0,20
P0089,Provider 89,NY,Pediatrics,Manual Intake,R. Kumar,2025-03-07,2025-03-16,Completed,9,0,0,0,20
P0090,Provider 90,NY,Internal Medicine,Referral,M. Singh,2025-01-01,,Committee Review,23,0,0,1,20
P0091,Provider 91,AZ,Family Medicine,Portal Upload,M. Singh,2025-02-22,2025-04-04,Completed,41,0,0,0,20
P0092,Provider 92,TX,Orthopedics,CAQH,R. Kumar,2025-03-13,2025-03-22,Completed,9,0,0,0,20
P0093,Provider 93,IL,Orthopedics,Manual Intake,A. Patel,2025-01-03,,In Verification,31,0,1,0,20
P0094,Provider 94,NY,Orthopedics,Portal Upload,R. Kumar,2025-03-06,2025-04-03,Completed,28,0,0,0,20
P0095,Provider 95,PA,Neurology,CAQH,S. Reddy,2025-01-22,,Committee Review,12,0,0,1,20
P0096,Provider 96,NY,Cardiology,Portal Upload,K. Sharma,2025-03-09,,Pending Documents,19,1,0,0,20
P0097,Provider 97,PA,Cardiology,Portal Upload,R. Kumar,2025-03-25,,In Verification,26,0,1,0,20
P0098,Provider 98,FL,Neurology,CAQH,K. Sharma,2025-03-13,2025-04-25,Completed,43,0,0,0,20
P0099,Provider 99,NJ,Pediatrics,Portal Upload,M. Singh,2025-01-26,2025-02-02,Completed,7,0,0,0,20
P0100,Provider 100,TX,Internal Medicine,CAQH,K. Sharma,2025-03-21,2025-03-31,Completed,10,0,0,0,20
P0101,Provider 101,FL,Neurology,CAQH,K. Sharma,2025-02-16,,Committee Review,23,0,0,1,20
P0102,Provider 102,FL,Pediatrics,Manual Intake,S. Reddy,2025-02-03,2025-03-08,Completed,33,0,0,0,20
P0103,Provider 103,AZ,Cardiology,Portal Upload,S. Reddy,2025-03-20,,Pending Documents,3,1,0,0,20
P0104,Provider 104,IL,Cardiology,Referral,A. Patel,2025-01-06,,In Verification,33,0,1,0,20
P0105,Provider 105,PA,Internal Medicine,Portal Upload,R. Kumar,2025-03-23,2025-03-30,Completed,7,0,0,0,20
P0106,Provider 106,CA,Internal Medicine,Portal Upload,M. Singh,2025-03-26,,On Hold,6,1,0,0,20
P0107,Provider 107,NJ,Internal Medicine,CAQH,M. Singh,2025-03-30,2025-04-17,Completed,18,0,0,0,20
P0108,Provider 108,AZ,Internal Medicine,CAQH,S. Reddy,2025-02-13,,Pending Documents,20,1,0,0,20
P0109,Provider 109,NY,Pediatrics,Referral,K. Sharma,2025-01-13,,Pending Documents,29,1,0,0,20
P0110,Provider 110,AZ,Family Medicine,CAQH,A. Patel,2025-01-20,2025-02-16,Completed,27,0,0,0,20
P0111,Provider 111,TX,Neurology,Portal Upload,S. Reddy,2025-02-09,,In Verification,41,0,1,0,20
P0112,Provider 112,PA,Cardiology,Referral,S. Reddy,2025-01-03,,On Hold,3,1,0,0,20
P0113,Provider 113,TX,Family Medicine,Manual Intake,R. Kumar,2025-03-29,2025-05-06,Completed,38,0,0,0,20
P0114,Provider 114,NY,Cardiology,Portal Upload,M. Singh,2025-02-09,2025-03-15,Completed,34,0,0,0,20
P0115,Provider 115,FL,Cardiology,CAQH,A. Patel,2025-02-09,2025-03-07,Completed,26,0,0,0,20
P0116,Provider 116,NJ,Family Medicine,Manual Intake,R. Kumar,2025-02-08,,In Verification,20,0,1,0,20
P0117,Provider 117,IL,Cardiology,Portal Upload,S. Reddy,2025-03-16,,On Hold,42,1,0,0,20
P0118,Provider 118,NY,Family Medicine,Manual Intake,K. Sharma,2025-01-16,,On Hold,22,1,0,0,20
P0119,Provider 119,FL,Cardiology,CAQH,S. Reddy,2025-03-15,,Committee Review,33,0,0,1,20
P0120,Provider 120,IL,Family Medicine,Portal Upload,M. Singh,2025-01-01,2025-01-10,Completed,9,0,0,0,20
P0121,Provider 121,CA,Cardiology,Referral,K. Sharma,2025-02-18,2025-04-01,Completed,42,0,0,0,20
P0122,Provider 122,NY,Pediatrics,Manual Intake,R. Kumar,2025-02-19,2025-03-21,Completed,30,0,0,0,20
P0123,Provider 123,IL,Family Medicine,Manual Intake,K. Sharma,2025-01-18,,Pending Documents,33,1,0,0,20
P0124,Provider 124,TX,Internal Medicine,Manual Intake,A. Patel,2025-02-05,,Committee Review,31,0,0,1,20
P0125,Provider 125,NJ,Cardiology,Referral,S. Reddy,2025-01-10,,Committee Review,17,0,0,1,20
P0126,Provider 126,AZ,Cardiology,CAQH,A. Patel,2025-02-05,,Pending Documents,15,1,0,0,20
P0127,Provider 127,IL,Orthopedics,Portal Upload,M. Singh,2025-02-08,2025-02-10,Completed,2,0,0,0,20
P0128,Provider 128,PA,Cardiology,Referral,K. Sharma,2025-01-02,2025-02-08,Completed,37,0,0,0,20
P0129,Provider 129,PA,Orthopedics,Referral,K. Sharma,2025-02-19,,In Verification,28,0,1,0,20
P0130,Provider 130,TX,Internal Medicine,Referral,A. Patel,2025-02-15,,Pending Documents,27,1,0,0,20
P0131,Provider 131,NJ,Internal Medicine,Referral,K. Sharma,2025-03-20,2025-04-01,Completed,12,0,0,0,20
P0132,Provider 132,FL,Family Medicine,Referral,M. Singh,2025-02-18,,In Verification,31,0,1,0,20
P0133,Provider 133,IL,Orthopedics,Portal Upload,K. Sharma,2025-03-14,2025-04-01,Completed,18,0,0,0,20
P0134,Provider 134,CA,Internal Medicine,Manual Intake,S. Reddy,2025-03-18,2025-04-01,Completed,14,0,0,0,20
P0135,Provider 135,NY,Family Medicine,Portal Upload,R. Kumar,2025-03-18,2025-03-25,Completed,7,0,0,0,20
P0136,Provider 136,NY,Orthopedics,CAQH,K. Sharma,2025-01-27,2025-03-10,Completed,42,0,0,0,20
P0137,Provider 137,IL,Orthopedics,Portal Upload,S. Reddy,2025-01-04,,Committee Review,8,0,0,1,20
P0138,Provider 138,NY,Internal Medicine,CAQH,R. Kumar,2025-03-19,,Committee Review,6,0,0,1,20
P0139,Provider 139,FL,Pediatrics,Portal Upload,R. Kumar,2025-03-17,,Committee Review,36,0,0,1,20
P0140,Provider 140,FL,Cardiology,Manual Intake,S. Reddy,2025-01-27,2025-02-26,Completed,30,0,0,0,20
P0141,Provider 141,PA,Neurology,Portal Upload,A. Patel,2025-03-05,,In Verification,43,0,1,0,20
P0142,Provider 142,AZ,Internal Medicine,Referral,R. Kumar,2025-03-03,,In Verification,33,0,1,0,20
P0143,Provider 143,IL,Pediatrics,CAQH,A. Patel,2025-03-28,,Committee Review,7,0,0,1,20
P0144,Provider 144,NY,Pediatrics,Referral,R. Kumar,2025-02-15,,Pending Documents,31,1,0,0,20
P0145,Provider 145,NJ,Pediatrics,Referral,K. Sharma,2025-02-15,,Pending Documents,22,1,0,0,20
P0146,Provider 146,TX,Orthopedics,Manual Intake,A. Patel,2025-02-17,2025-03-29,Completed,40,0,0,0,20
P0147,Provider 147,TX,Family Medicine,CAQH,A. Patel,2025-01-15,,On Hold,40,1,0,0,20
P0148,Provider 148,FL,Pediatrics,Portal Upload,A. Patel,2025-02-12,,In Verification,32,0,1,0,20
P0149,Provider 149,AZ,Cardiology,Portal Upload,A. Patel,2025-03-08,,Pending Documents,42,1,0,0,20
P0150,Provider 150,PA,Neurology,Manual Intake,R. Kumar,2025-02-09,,Pending Documents,26,1,0,0,20
P0151,Provider 151,TX,Orthopedics,Referral,K. Sharma,2025-03-27,,In Verification,35,0,1,0,20
P0152,Provider 152,NJ,Neurology,Referral,S. Reddy,2025-01-20,,In Verification,22,0,1,0,20
P0153,Provider 153,PA,Orthopedics,Manual Intake,M. Singh,2025-01-23,,In Verification,32,0,1,0,20
P0154,Provider 154,IL,Neurology,Referral,K. Sharma,2025-03-08,,In Verification,13,0,1,0,20
P0155,Provider 155,TX,Pediatrics,Referral,M. Singh,2025-02-01,,Committee Review,44,0,0,1,20
P0156,Provider 156,FL,Pediatrics,Referral,M. Singh,2025-03-15,,Rejected,34,0,1,0,20
P0157,Provider 157,NY,Orthopedics,Manual Intake,A. Patel,2025-03-05,2025-03-23,Completed,18,0,0,0,20
P0158,Provider 158,AZ,Internal Medicine,Manual Intake,S. Reddy,2025-03-31,,In Verification,29,0,1,0,20
P0159,Provider 159,PA,Neurology,Manual Intake,S. Reddy,2025-03-13,,Pending Documents,29,1,0,0,20
P0160,Provider 160,PA,Family Medicine,Referral,R. Kumar,2025-03-31,,In Verification,10,0,1,0,20
P0161,Provider 161,IL,Family Medicine,Manual Intake,M. Singh,2025-01-31,,In Verification,18,0,1,0,20
P0162,Provider 162,NY,Orthopedics,Manual Intake,A. Patel,2025-03-27,2025-04-06,Completed,10,0,0,0,20
P0163,Provider 163,IL,Orthopedics,Manual Intake,R. Kumar,2025-02-18,2025-03-30,Completed,40,0,0,0,20
P0164,Provider 164,TX,Orthopedics,Portal Upload,S. Reddy,2025-02-27,,Pending Documents,3,1,0,0,20
P0165,Provider 165,CA,Neurology,Referral,S. Reddy,2025-01-02,2025-02-08,Completed,37,0,0,0,20
P0166,Provider 166,PA,Orthopedics,Portal Upload,A. Patel,2025-03-25,2025-05-04,Completed,40,0,0,0,20
P0167,Provider 167,NJ,Internal Medicine,Referral,S. Reddy,2025-03-12,,In Verification,15,0,1,0,20
P0168,Provider 168,FL,Pediatrics,Manual Intake,R. Kumar,2025-03-01,,Pending Documents,44,1,0,0,20
P0169,Provider 169,TX,Orthopedics,Manual Intake,S. Reddy,2025-03-25,,Pending Documents,17,1,0,0,20
P0170,Provider 170,NJ,Family Medicine,CAQH,A. Patel,2025-01-26,2025-03-07,Completed,40,0,0,0,20
P0171,Provider 171,NY,Family Medicine,Manual Intake,S. Reddy,2025-01-09,,Pending Documents,30,1,0,0,20
P0172,Provider 172,CA,Internal Medicine,Manual Intake,R. Kumar,2025-01-08,,In Verification,39,0,1,0,20
P0173,Provider 173,TX,Family Medicine,CAQH,A. Patel,2025-01-06,,Pending Documents,41,1,0,0,20
P0174,Provider 174,PA,Orthopedics,Referral,R. Kumar,2025-03-18,,Pending Documents,6,1,0,0,20
P0175,Provider 175,IL,Pediatrics,Manual Intake,M. Singh,2025-01-07,2025-02-15,Completed,39,0,0,0,20
P0176,Provider 176,PA,Orthopedics,Portal Upload,S. Reddy,2025-01-25,,Pending Documents,17,1,0,0,20
P0177,Provider 177,NJ,Neurology,Portal Upload,R. Kumar,2025-01-08,2025-02-05,Completed,28,0,0,0,20
P0178,Provider 178,FL,Pediatrics,CAQH,A. Patel,2025-03-20,,Rejected,42,0,1,0,20
P0179,Provider 179,TX,Cardiology,Referral,S. Reddy,2025-03-13,,In Verification,13,0,1,0,20
P0180,Provider 180,PA,Pediatrics,Referral,A. Patel,2025-02-14,,Committee Review,35,0,0,1,20
P0181,Provider 181,AZ,Family Medicine,Manual Intake,A. Patel,2025-03-11,,Pending Documents,4,1,0,0,20
P0182,Provider 182,PA,Internal Medicine,Portal Upload,M. Singh,2025-02-19,,In Verification,12,0,1,0,20
P0183,Provider 183,NJ,Orthopedics,Portal Upload,A. Patel,2025-01-03,,In Verification,23,0,1,0,20
P0184,Provider 184,NY,Family Medicine,Portal Upload,S. Reddy,2025-02-01,,Committee Review,23,0,0,1,20
P0185,Provider 185,NJ,Orthopedics,Manual Intake,A. Patel,2025-02-05,,Committee Review,24,0,0,1,20
P0186,Provider 186,NY,Pediatrics,Referral,A. Patel,2025-02-13,2025-03-29,Completed,44,0,0,0,20
P0187,Provider 187,NY,Orthopedics,Portal Upload,A. Patel,2025-01-03,,On Hold,24,1,0,0,20
P0188,Provider 188,CA,Cardiology,Manual Intake,M. Singh,2025-03-26,2025-03-29,Completed,3,0,0,0,20
P0189,Provider 189,NY,Pediatrics,Portal Upload,A. Patel,2025-03-30,,Pending Documents,6,1,0,0,20
P0190,Provider 190,NY,Cardiology,CAQH,S. Reddy,2025-02-02,,Committee Review,29,0,0,1,20
P0191,Provider 191,PA,Internal Medicine,Referral,K. Sharma,2025-03-27,2025-04-01,Completed,5,0,0,0,20
P0192,Provider 192,NJ,Orthopedics,Manual Intake,M. Singh,2025-01-01,,Pending Documents,38,1,0,0,20
P0193,Provider 193,AZ,Orthopedics,Portal Upload,S. Reddy,2025-01-03,2025-01-16,Completed,13,0,0,0,20
P0194,Provider 194,CA,Orthopedics,Referral,A. Patel,2025-02-16,,Committee Review,6,0,0,1,20
P0195,Provider 195,IL,Pediatrics,Portal Upload,A. Patel,2025-02-06,2025-02-14,Completed,8,0,0,0,20
P0196,Provider 196,NY,Neurology,Referral,K. Sharma,2025-03-30,,In Verification,31,0,1,0,20
P0197,Provider 197,PA,Family Medicine,CAQH,K. Sharma,2025-02-22,,In Verification,12,0,1,0,20
P0198,Provider 198,CA,Pediatrics,Manual Intake,R. Kumar,2025-03-22,,In Verification,28,0,1,0,20
P0199,Provider 199,NJ,Internal Medicine,Portal Upload,S. Reddy,2025-02-07,2025-02-17,Completed,10,0,0,0,20
P0200,Provider 200,PA,Neurology,CAQH,A. Patel,2025-02-16,,Committee Review,6,0,0,1,20
P0201,Provider 201,NJ,Cardiology,Manual Intake,K. Sharma,2025-02-27,2025-03-10,Completed,11,0,0,0,20
P0202,Provider 202,FL,Internal Medicine,Portal Upload,R. Kumar,2025-02-22,2025-03-24,Completed,30,0,0,0,20
P0203,Provider 203,PA,Cardiology,Portal Upload,S. Reddy,2025-01-16,,In Verification,3,0,1,0,20
P0204,Provider 204,TX,Family Medicine,CAQH,M. Singh,2025-02-16,2025-02-21,Completed,5,0,0,0,20
P0205,Provider 205,NJ,Cardiology,Referral,K. Sharma,2025-01-01,,In Verification,26,0,1,0,20
P0206,Provider 206,AZ,Pediatrics,Manual Intake,K. Sharma,2025-03-29,,In Verification,5,0,1,0,20
P0207,Provider 207,IL,Internal Medicine,Referral,S. Reddy,2025-02-02,,Rejected,34,0,1,0,20
P0208,Provider 208,NJ,Pediatrics,Portal Upload,M. Singh,2025-03-27,,Committee Review,10,0,0,1,20
P0209,Provider 209,AZ,Neurology,Referral,A. Patel,2025-03-15,2025-03-18,Completed,3,0,0,0,20
P0210,Provider 210,AZ,Family Medicine,CAQH,M. Singh,2025-03-01,,On Hold,33,1,0,0,20
P0211,Provider 211,TX,Orthopedics,Portal Upload,K. Sharma,2025-02-22,2025-03-28,Completed,34,0,0,0,20
P0212,Provider 212,PA,Family Medicine,Manual Intake,M. Singh,2025-03-01,2025-03-30,Completed,29,0,0,0,20
P0213,Provider 213,IL,Family Medicine,Referral,S. Reddy,2025-02-25,,Pending Documents,11,1,0,0,20
P0214,Provider 214,NY,Internal Medicine,CAQH,M. Singh,2025-02-05,2025-02-25,Completed,20,0,0,0,20
P0215,Provider 215,TX,Internal Medicine,CAQH,M. Singh,2025-03-03,,Pending Documents,41,1,0,0,20
P0216,Provider 216,CA,Orthopedics,Referral,K. Sharma,2025-03-07,,In Verification,32,0,1,0,20
P0217,Provider 217,AZ,Cardiology,Portal Upload,K. Sharma,2025-03-17,,In Verification,35,0,1,0,20
P0218,Provider 218,CA,Pediatrics,Manual Intake,S. Reddy,2025-03-30,,Committee Review,16,0,0,1,20
P0219,Provider 219,FL,Internal Medicine,CAQH,R. Kumar,2025-02-02,,In Verification,26,0,1,0,20
P0220,Provider 220,NY,Cardiology,Manual Intake,R. Kumar,2025-01-22,,Rejected,16,0,1,0,20
P0221,Provider 221,TX,Orthopedics,CAQH,S. Reddy,2025-02-23,,Pending Documents,3,1,0,0,20
P0222,Provider 222,AZ,Cardiology,CAQH,A. Patel,2025-03-31,,Pending Documents,7,1,0,0,20
P0223,Provider 223,AZ,Family Medicine,CAQH,S. Reddy,2025-03-24,2025-05-03,Completed,40,0,0,0,20
P0224,Provider 224,TX,Internal Medicine,Portal Upload,R. Kumar,2025-03-15,,On Hold,36,1,0,0,20
P0225,Provider 225,TX,Neurology,Portal Upload,M. Singh,2025-02-07,,Pending Documents,32,1,0,0,20
P0226,Provider 226,NY,Pediatrics,Manual Intake,K. Sharma,2025-02-25,2025-03-18,Completed,21,0,0,0,20
P0227,Provider 227,PA,Pediatrics,CAQH,K. Sharma,2025-02-13,2025-02-22,Completed,9,0,0,0,20
P0228,Provider 228,TX,Cardiology,Referral,A. Patel,2025-02-09,2025-02-27,Completed,18,0,0,0,20
P0229,Provider 229,AZ,Neurology,Portal Upload,K. Sharma,2025-01-19,,In Verification,25,0,1,0,20
P0230,Provider 230,CA,Orthopedics,Manual Intake,S. Reddy,2025-02-19,,In Verification,22,0,1,0,20
P0231,Provider 231,NY,Cardiology,Portal Upload,K. Sharma,2025-02-15,2025-03-21,Completed,34,0,0,0,20
P0232,Provider 232,NY,Cardiology,CAQH,S. Reddy,2025-02-20,2025-03-08,Completed,16,0,0,0,20
P0233,Provider 233,NY,Internal Medicine,CAQH,R. Kumar,2025-02-26,,Pending Documents,4,1,0,0,20
P0234,Provider 234,AZ,Cardiology,Portal Upload,A. Patel,2025-03-23,2025-04-12,Completed,20,0,0,0,20
P0235,Provider 235,AZ,Neurology,Manual Intake,A. Patel,2025-02-24,,Committee Review,18,0,0,1,20
P0236,Provider 236,AZ,Internal Medicine,CAQH,M. Singh,2025-03-30,,Pending Documents,2,1,0,0,20
P0237,Provider 237,PA,Neurology,Portal Upload,M. Singh,2025-01-08,,Pending Documents,30,1,0,0,20
P0238,Provider 238,NJ,Neurology,Manual Intake,R. Kumar,2025-02-08,,Committee Review,19,0,0,1,20
P0239,Provider 239,TX,Orthopedics,Referral,K. Sharma,2025-03-02,,Committee Review,24,0,0,1,20
